FID,OID_1,XDSegID,PreviousXD,NextXDSegI,FRC,RoadNumber,RoadName,LinearID,Country,State,County,District,Miles,Lanes,SlipRoad,SpecialRoa,RoadList,StartLat,StartLong,EndLat,EndLong,Bearing,XDGroup,ShapeSRID,XDSegIDnum,Corridor,Period,Order
8296, ,1310243603,1310516307,1310548572,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Merrifield,0.204685884,3,0, ,                I 66,38.88398,-77.22536,38.88512,-77.22185,                     E,263139,4326,1310243603,I-66-E,AM,5
46321, ,1310468986, ,1310292613,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Merrifield,0.135806888,3,0, ,                I 66,38.88471,-77.22309,38.8855,-77.22078,                     E,263139,4326,1310468986,I-66-E,AM,6
17609, ,1310292613,1310468986, ,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Idylwood,0.218548676,3,0, ,                I 66,38.8855,-77.22078,38.88708,-77.21727,                     E,263139,4326,1310292613,I-66-E,AM,7
11574, ,1310261214,1310564402,1310261178,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Idylwood,0.581914121,2.615,0, ,                I 66,38.88708,-77.21727,38.89199,-77.20848,                     E,263139,4326,1310261214,I-66-E,AM,8
11566, ,1310261178,1310261214,1310376732,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Idylwood,0.608900272,2.51,0, ,                I 66,38.89199,-77.20848,38.89721,-77.19935,                     E,263139,4326,1310261178,I-66-E,AM,9
31647, ,1310376732,1310261178, ,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Idylwood,0.674162888,2,0, ,                I 66,38.89721,-77.19935,38.90049,-77.18791,                     E,263139,4326,1310376732,I-66-E,AM,10
13857, ,1310273144,1310458878, ,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Idylwood,0.255688032,2,0, ,                I 66,38.90049,-77.18791,38.89959,-77.18333,                     E,263139,4326,1310273144,I-66-E,AM,11
42757, ,1310447311,1310518114,1310616983,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           McLean,0.977895341,3,0, ,                I 66,38.89959,-77.18333,38.89262,-77.16779,                     E,263139,4326,1310447311,I-66-E,AM,12
71998, ,1310616983,1310447311,1310616979,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.553051429,2.465,0, ,                I 66,38.89262,-77.16779,38.88707,-77.16043,                     E,263139,4326,1310616983,I-66-E,AM,13
71997, ,1310616979,1310616983,1310403053,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.521846168,2,0, ,                I 66,38.88707,-77.16043,38.88401,-77.15157,                     E,263139,4326,1310616979,I-66-E,AM,14
35807, ,1310403053,1310616979,1310403017,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.480599548,2,0, ,                I 66,38.88401,-77.15157,38.88131,-77.14333,                     E,263139,4326,1310403053,I-66-E,AM,15
35803, ,1310403017,1310403053,135611399,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.449313509,2,0, ,                I 66,38.88131,-77.14333,38.87919,-77.13549,                     E,263139,4326,1310403017,I-66-E,AM,16
2682, ,135611399,1310403017,1310403029,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.449692545,2,0, ,                I 66,38.87919,-77.13549,38.8795,-77.12716,                     E,263139,4326,135611399,I-66-E,AM,17
35805, ,1310403029,135611399,1310548232,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.159164231,2,0, ,                I 66,38.8795,-77.12716,38.88043,-77.12447,                     E,263139,4326,1310403029,I-66-E,AM,18
59502, ,1310548232,1310403029,1310599570,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.757314781,2,0, ,                I 66,38.88043,-77.12447,38.88796,-77.11466,                     E,263139,4326,1310548232,I-66-E,AM,19
15347, ,1310280919,1310509944, ,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.184385688,2,0, ,                I 66,38.88654,-77.11751,38.88796,-77.11466,                     E,1984528,4326,1310280919,I-66-E,AM,20
68354, ,1310599570,1310548232,1310337025,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.820613865,2,0, ,                I 66,38.88796,-77.11466,38.89259,-77.10101,                     E,263139,4326,1310599570,I-66-E,AM,21
25313, ,1310337025,1310599570,1310483840,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,1.057331434,2,0, ,                I 66,38.89259,-77.10101,38.8974,-77.08499,                     E,263139,4326,1310337025,I-66-E,AM,22
48581, ,1310483840,1310337025,1310483802,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.468538734,2,0, ,                I 66,38.8974,-77.08499,38.89841,-77.07698,                     E,263139,4326,1310483840,I-66-E,AM,23
48574, ,1310483802,1310483840, ,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.540232542,2,0, ,                I 66,38.89841,-77.07698,38.89658,-77.06817,                     E,263139,4326,1310483802,I-66-E,AM,24
