tripID,corridor,deviceID,providerID,providerType,providerDrivingProfile,vehicleWeightClass
1452b1c3ba4b718bb88fdfee124d5e07,I-66-EB-TZ1-2-3_US-29-NB-TZ4,4d6a2f9b6c3fa8dacdb845198b4f64d1,54229abfcfa5649e7003b83dd4755294,2,3,2
b2d3b723d00e537639a4530f76b8294c,I-66-EB-TZ1-2-3_US-29-NB-TZ4,b17a63b31ec5e069fc067076f5b4f704,8dd48d6a2e2cad213179a3992c0be53c,1,1,1
2fbe75d35a7c85c4de86eb8f712abc03,I-66-EB-TZ1-2-3_US-29-NB-TZ4,24ecb69a81932c76a8738778012f8f00,f033ab37c30201f73f142449d037028d,2,3,2
fa9fb1d5b9c4a1ba640bba83e04776c3,I-66-EB-TZ1-2-3_US-29-NB-TZ4,2c89f5208423d0f3fbac5724b633d542,45c48cce2e2d7fbdea1afc51c7c6ad26,2,4,3
ccb90292fd3cb78be8e2638cdf3973ce,I-66-EB-TZ1-2-3_US-29-NB-TZ4,722e093cdb0a531ab0e5793f394bae46,82cec96096d4281b7c95cd7e74623496,1,1,1
9c8416a7f60c41575c639c3c6a270852,I-66-EB-TZ1-2-3_US-29-NB-TZ4,cddbd208dee949e7b00ad214f2acac22,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
1e0f2034c724c65b0a263467a9fe3244,I-66-EB-TZ1-2-3_US-29-NB-TZ4,71290673a7912995c79b7ac6ef811d30,a02ffd91ece5e7efeb46db8f10a74059,2,3,1
0eb9167dc6cada7670c72c9d61e87534,I-66-EB-TZ1-2-3_US-29-NB-TZ4,b532ea08b3704a99d66016b7780ca6f9,a02ffd91ece5e7efeb46db8f10a74059,2,3,1
ab6510301fa48c44ce34a6ae2e876481,I-66-EB-TZ1-2-3_US-29-NB-TZ4,b273696c1a4326b1d04970db0a5df7f5,f033ab37c30201f73f142449d037028d,2,3,2
b665596a120df3b7360d35ca071fe9ef,I-66-EB-TZ1-2-3_US-29-NB-TZ4,2de0a1d7a352fb91133d0be594dc15d4,a02ffd91ece5e7efeb46db8f10a74059,2,3,1
395b1014eecf9a3cc8d910adf04d9ae8,I-66-EB-TZ1-2-3_US-29-NB-TZ4,a17601a9b99884adac474df0081b1dc3,8dd48d6a2e2cad213179a3992c0be53c,1,1,1
0e5d9c33b55d7235b980cfeb13963ef5,I-66-EB-TZ1-2-3_US-29-NB-TZ4,0e8c3ec93fcffd861cdd92b440159f7f,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
b70ea78dfe3dc3faa61e7865d47bfe5e,I-66-EB-TZ1-2-3_US-29-NB-TZ4,6cc2644f62fe03bdee4bbcbd22c5fdb1,f4f6dce2f3a0f9dada0c2b5b66452017,1,1,1
5c175db05387e1fb380c6d1767c0ec39,I-66-EB-TZ1-2-3_US-29-NB-TZ4,ba70b721fa3ed8b2080fb1e933ebc33b,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
6c4f2f4106884d675b6e5db8ec010ec3,I-66-EB-TZ1-2-3_US-29-NB-TZ4,d62adc85b77c3e93378491354db0c8a4,54229abfcfa5649e7003b83dd4755294,2,3,2
ae0a4e99ec636ba9b3c03e7e71d9f995,I-66-EB-TZ1-2-3_US-29-NB-TZ4,6b2f6e82587c95fd66a2aa41f7757ee7,a02ffd91ece5e7efeb46db8f10a74059,2,3,1
bace99f5c8fc7eabcd80338d8ccfd61e,I-66-EB-TZ1-2-3_US-29-NB-TZ4,30a7272ceedfbc339b4dadb30d1f67ad,a02ffd91ece5e7efeb46db8f10a74059,2,3,1
824cb1794f0366104343e308b052a6e2,I-66-EB-TZ1-2-3_US-29-NB-TZ4,ab182cbe90c9f7d40cc1b0bc1e259a1b,54229abfcfa5649e7003b83dd4755294,2,3,2
9eeb25e3620dfdebe9a5a4b2e8149c76,I-66-EB-TZ1-2-3_US-29-NB-TZ4,f169df316e6d346e225978ac1fb26cb9,f033ab37c30201f73f142449d037028d,2,3,2
01985f72c6d1fcbfa08fb117c75d0335,I-66-EB-TZ1-2-3_US-29-NB-TZ4,d5ec8599d3cc110fa957917d841fc3db,54229abfcfa5649e7003b83dd4755294,2,3,2
d068e99f2c280cac55196434997034a1,I-66-EB-TZ1-2-3_US-29-NB-TZ4,d5c082257936ce170271d70339ec4b13,84d9ee44e457ddef7f2c4f25dc8fa865,1,1,1
39c2d7cc4a5a7e3dc91bc7ee7fe72e88,I-66-EB-TZ1-2-3_US-29-NB-TZ4,d5ec8599d3cc110fa957917d841fc3db,54229abfcfa5649e7003b83dd4755294,2,3,2
21f073ae618e4ea0f9342620bfe54570,I-66-EB-TZ1-2-3_US-29-NB-TZ4,63614686937e6b311f14281c4c632d57,54229abfcfa5649e7003b83dd4755294,2,3,2
15fd88aa4b847768fd298f189fb6fc61,I-66-EB-TZ1-2-3_US-29-NB-TZ4,2afe757c198a5759e5db25495118097e,3ad7c2ebb96fcba7cda0cf54a2e802f5,1,1,1
87144e74253da339232cb285e546e8ad,I-66-EB-TZ1-2-3_US-29-NB-TZ4,8435f09efcdf5c1ebab56865d56c6615,54229abfcfa5649e7003b83dd4755294,2,3,2
352450eb7e0f0fe28cffbccb0b40fcab,I-66-EB-TZ1-2-3_US-29-NB-TZ4,f169df316e6d346e225978ac1fb26cb9,f033ab37c30201f73f142449d037028d,2,3,2
5b37385256a6d19ade2e37ae2912f7c3,I-66-EB-TZ1-2-3_US-29-NB-TZ4,d4a96d4c68be1f8c0866722b05c28c77,84d9ee44e457ddef7f2c4f25dc8fa865,1,1,1
84607cb73dd50ab82f244415cd1f6da1,I-66-EB-TZ1-2-3_US-29-NB-TZ4,bf46942f78a899ae50a9efb0a5e1cbb2,b9228e0962a78b84f3d5d92f4faa000b,2,3,2
d84101d08848a128bc5d8abb3177ed6d,I-66-EB-TZ1-2-3_US-29-NB-TZ4,0689d8c149507dd72a868b4e4c0e9880,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
e4bb634ccfd79a6b687869695b1edf79,I-66-EB-TZ1-2-3_US-29-NB-TZ4,cf710fc6e9ce3d3dd88b388b80b89205,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
4c311c81b80906b2bc5039c9f33e7538,I-66-EB-TZ1-2-3_US-29-NB-TZ4,30753200b1689ac7435743bdf49d508b,a02ffd91ece5e7efeb46db8f10a74059,2,3,1
f93ee9674f18d61201656fb569b67031,I-66-EB-TZ1-2-3_US-29-NB-TZ4,d827c09431760c16164173d494f104b5,a02ffd91ece5e7efeb46db8f10a74059,2,3,1
ef5281cb89f808666dddb97a6875f80b,I-66-EB-TZ1-2-3_US-29-NB-TZ4,f169df316e6d346e225978ac1fb26cb9,f033ab37c30201f73f142449d037028d,2,3,2
a35d1fa02425062fd45bb35a6a04eff2,I-66-EB-TZ1-2-3_US-29-NB-TZ4,8567365157a24ed2219e80cca2cc90c1,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
98f9a5340ed8c6a1772cb9d5935c5007,I-66-EB-TZ1-2-3_US-29-NB-TZ4,ed8d844d3038cfc2025bf7fffad9c136,82cec96096d4281b7c95cd7e74623496,1,1,1
32b5712912633d302fcf9e78668f610c,I-66-EB-TZ1-2-3_US-29-NB-TZ4,70ed0804ca23f134559fa53f1c8164ae,3ad7c2ebb96fcba7cda0cf54a2e802f5,1,1,1
92399aad6ba8b0966a14b78737eeb4c9,I-66-EB-TZ1-2-3_US-29-NB-TZ4,c55793efadfe7bdab921fbfd9c8d5857,82cec96096d4281b7c95cd7e74623496,1,1,1
600ad167c50acdf31780220678ffd3ce,I-66-EB-TZ1-2-3_US-29-NB-TZ4,8e470abc90bc9a5df05dc35c627adb21,82cec96096d4281b7c95cd7e74623496,1,1,1
312e6b0f32a7eff5eaa7bdd9eacf0767,I-66-EB-TZ1-2-3_US-29-NB-TZ4,f169df316e6d346e225978ac1fb26cb9,f033ab37c30201f73f142449d037028d,2,3,2
090f8987a4db9de938db56dd337c9e0c,I-66-EB-TZ1-2-3_US-29-NB-TZ4,f169df316e6d346e225978ac1fb26cb9,f033ab37c30201f73f142449d037028d,2,3,2
