Index,NodeType,Direction,Latitude,Longitude,InterestCount%,AM%,PM%
35,Destination,True,38.744337927927916,-76.79218441571261,0.000088,0.000134,0.000054
36,Origin,False,38.80233234234233,-77.221,0.000145,0.000144,0.000146
36,Destination,False,38.7433097051597,-76.90744939055115,0.000145,0.000144,0.000146
37,Origin,False,38.918321171171165,-76.87948113882777,0.000002,0.000003,0.000002
37,Destination,False,38.89072985257985,-77.56176440774799,0.000002,0.000003,0.000002
38,Origin,True,38.595889557739554,-76.83172502613162,0.000000,0.000000,0.000000
38,Destination,True,38.86032675675675,-76.87897146255847,0.000000,0.000000,0.000000
39,Origin,False,38.744337927927916,-76.96371064942757,0.000002,0.000003,0.000002
39,Destination,False,38.546749508599504,-77.19591021914697,0.000002,0.000003,0.000002
40,Origin,False,38.80233234234233,-76.7928253284413,0.000001,0.000001,0.000000
40,Destination,False,39.03815,-77.41779338779192,0.000001,0.000001,0.000000
41,Origin,False,38.80233234234233,-77.04973013137652,0.000416,0.000409,0.000420
41,Destination,False,38.6450296068796,-77.12416887964064,0.000416,0.000409,0.000420
42,Origin,True,38.595889557739554,-77.48826273202393,0.000000,0.000000,0.000000
42,Destination,True,38.918321171171165,-76.87948113882777,0.000000,0.000000,0.000000
43,Origin,False,38.744337927927916,-76.79218441571261,0.000001,0.000001,0.000000
43,Destination,False,38.98900995085995,-77.4897337924949,0.000001,0.000001,0.000000
44,Origin,False,38.918321171171165,-77.05024056941389,0.002095,0.001729,0.002359
44,Destination,False,38.9398699017199,-77.48955153428624,0.002095,0.001729,0.002359
45,Origin,True,39.03815,-76.84081575523705,0.000006,0.000010,0.000003
45,Destination,True,38.744337927927916,-77.221,0.000006,0.000010,0.000003
46,Origin,False,38.97631558558558,-76.87998929836175,0.000007,0.000007,0.000006
46,Destination,False,38.8415898034398,-76.90928817188002,0.000007,0.000007,0.000006
47,Origin,False,38.97631558558558,-76.79473662295219,0.000006,0.000009,0.000003
47,Destination,False,38.79244975429975,-77.48900198916938,0.000006,0.000009,0.000003
48,Origin,False,38.744337927927916,-77.221,0.000071,0.000076,0.000068
48,Destination,False,38.497609459459454,-77.04908109035902,0.000071,0.000076,0.000068
49,Origin,False,38.80233234234233,-76.7928253284413,0.000001,0.000002,0.000000
49,Destination,False,38.6450296068796,-77.05131300530358,0.000001,0.000002,0.000000
50,Origin,False,38.97631558558558,-77.05049464918088,0.000102,0.000091,0.000110
50,Destination,False,39.03815,-77.2735489796532,0.000102,0.000091,0.000110
51,Origin,False,38.97631558558558,-76.79473662295219,0.000000,0.000001,0.000000
51,Destination,False,38.7433097051597,-76.83477832960627,0.000000,0.000001,0.000000
52,Origin,True,38.89072985257985,-77.56176440774799,0.000033,0.000057,0.000016
52,Destination,True,39.03431,-77.05074797396043,0.000033,0.000057,0.000016
53,Origin,True,38.6450296068796,-76.97845713096653,0.000026,0.000052,0.000007
53,Destination,True,38.97631558558558,-77.05049464918088,0.000026,0.000052,0.000007
54,Origin,False,38.97631558558558,-77.05049464918088,0.000011,0.000010,0.000013
54,Destination,False,38.89072985257985,-77.27218203873996,0.000011,0.000010,0.000013
55,Origin,False,38.744337927927916,-77.13523688314253,0.000236,0.000225,0.000243
55,Destination,False,38.89072985257985,-77.19978644648795,0.000236,0.000225,0.000243
56,Origin,True,38.497609459459454,-77.04908109035902,0.000001,0.000000,0.000001
56,Destination,True,38.80233234234233,-77.04973013137652,0.000001,0.000000,0.000001
57,Origin,False,38.744337927927916,-77.04947376628505,0.000074,0.000079,0.000070
57,Destination,False,38.9398699017199,-77.48955153428624,0.000074,0.000079,0.000070
58,Origin,True,38.69416965601965,-77.41586994913553,0.000026,0.000029,0.000023
58,Destination,True,38.80233234234233,-76.7928253284413,0.000026,0.000029,0.000023
59,Origin,True,39.03815,-76.98506016337576,0.000028,0.000040,0.000020
59,Destination,True,38.80233234234233,-76.7928253284413,0.000028,0.000040,0.000020
60,Origin,True,38.546749508599504,-77.63416,0.000001,0.000003,0.000000
60,Destination,True,38.86032675675675,-77.221,0.000001,0.000003,0.000000
61,Origin,False,38.80233234234233,-76.96409519706478,0.000018,0.000024,0.000014
61,Destination,False,38.89072985257985,-76.91020407747992,0.000018,0.000024,0.000014
