Latitude,Longitude,Zone
39.06679,-77.53886,Nova
39.06679,-77.16229774536815,Nova
39.06679,-76.7857354907363,Nova
38.81003324324324,-77.53886,Nova
38.81003324324324,-77.15980651062453,Nova
38.81003324324324,-76.78075302124907,Nova
38.55327648648648,-77.53886,Nova
38.55327648648648,-77.15728209367637,Nova
38.55327648648648,-76.77570418735274,Nova
39.11,-77.284,DC
39.11,-77.02003774287316,DC
39.11,-76.75607548574631,DC
38.92981981981982,-77.284,DC
38.92981981981982,-77.01881603757707,DC
38.92981981981982,-76.75363207515413,DC
38.74963963963964,-77.284,DC
38.74963963963964,-77.01758297077761,DC
38.74963963963964,-76.75116594155521,DC
