ID, Type, CenterLat, CenterLong
0,NOVA,39.06679,-77.53886
1,NOVA,39.06679,-77.16229774536815
2,NOVA,39.06679,-76.7857354907363
3,NOVA,38.81003324324324,-77.53886
4,NOVA,38.81003324324324,-77.15980651062453
5,NOVA,38.81003324324324,-76.78075302124907
6,NOVA,38.55327648648648,-77.53886
7,NOVA,38.55327648648648,-77.15728209367637
8,NOVA,38.55327648648648,-76.77570418735274
9,DC,39.11,-77.284
10,DC,39.11,-77.02003774287316
11,DC,39.11,-76.75607548574631
12,DC,38.92981981981982,-77.284
13,DC,38.92981981981982,-77.01881603757707
14,DC,38.92981981981982,-76.75363207515413
15,DC,38.74963963963964,-77.284
16,DC,38.74963963963964,-77.01758297077761
17,DC,38.74963963963964,-76.75116594155521
