Point Attribute,Lat,Long,ID,Total Percent,AM Percent,PM Percent
Destination,39.11,-76.75607548574631,48,3.352,4.471,2.347
Origin,36.90243783783784,-75.3001552409644,49,2.457,2.673,1.636
Destination,38.92981981981982,-77.01881603757707,49,2.457,2.673,1.636
Origin,39.11,-76.75607548574631,50,0.016,0.016,0.017
Destination,36.90243783783784,-78.65719,50,0.016,0.016,0.017
Origin,38.74963963963964,-77.01758297077761,51,0.006,0.006,0.006
Destination,37.98351891891892,-78.65719,51,0.006,0.006,0.006
Origin,38.74963963963964,-77.284,52,0.002,0.003,0.003
Destination,39.0646,-75.48596166245726,52,0.002,0.003,0.003
Origin,38.92981981981982,-77.01881603757707,53,0.002,0.002,0.002
Destination,36.90243783783784,-76.9786726204822,53,0.002,0.002,0.002
Origin,36.90243783783784,-78.65719,54,0.000,0.000,0.000
Destination,38.92981981981982,-77.284,54,0.000,0.000,0.000
Origin,37.98351891891892,-77.02644632431243,55,0.002,0.003,0.002
Destination,38.74963963963964,-77.01758297077761,55,0.002,0.003,0.002
Origin,37.98351891891892,-75.39570264862486,56,1.880,2.143,1.067
Destination,38.74963963963964,-77.284,56,1.880,2.143,1.067
Origin,39.11,-77.284,57,0.010,0.010,0.010
Destination,36.90243783783784,-76.9786726204822,57,0.010,0.010,0.010
Origin,37.98351891891892,-75.39570264862486,58,9.350,1.129,4.090
Destination,38.92981981981982,-77.284,58,9.350,1.129,4.090
Origin,39.11,-77.284,59,0.028,0.028,0.029
Destination,39.0646,-77.07157583122863,59,0.028,0.028,0.029
Origin,38.92981981981982,-76.75363207515413,60,0.003,0.003,0.003
Destination,37.98351891891892,-75.39570264862486,60,0.003,0.003,0.003
Origin,38.74963963963964,-77.01758297077761,61,0.006,0.006,0.006
Destination,36.90243783783784,-75.3001552409644,61,0.006,0.006,0.006
Origin,37.98351891891892,-77.02644632431243,62,0.003,0.004,0.003
Destination,39.11,-77.02003774287316,62,0.003,0.004,0.003
Origin,39.11,-77.02003774287316,63,0.017,0.017,0.017
Destination,39.0646,-78.65719,63,0.017,0.017,0.017
Origin,38.92981981981982,-77.284,64,0.003,0.003,0.003
Destination,37.98351891891892,-77.02644632431243,64,0.003,0.003,0.003
Origin,37.98351891891892,-77.02644632431243,65,0.000,0.000,0.000
Destination,39.11,-77.284,65,0.000,0.000,0.000
Origin,39.11,-76.75607548574631,66,0.008,0.007,0.008
Destination,37.98351891891892,-78.65719,66,0.008,0.007,0.008
Origin,38.92981981981982,-77.01881603757707,67,0.003,0.003,0.003
Destination,37.98351891891892,-75.39570264862486,67,0.003,0.003,0.003
Origin,37.98351891891892,-78.65719,68,0.000,0.000,0.000
Destination,38.74963963963964,-77.284,68,0.000,0.000,0.000
Origin,38.92981981981982,-76.75363207515413,69,0.005,0.005,0.005
Destination,39.0646,-78.65719,69,0.005,0.005,0.005
Origin,36.90243783783784,-78.65719,70,0.000,0.000,8.714
Destination,38.74963963963964,-76.75116594155521,70,0.000,0.000,8.714
Origin,39.0646,-78.65719,71,0.000,0.000,0.000
Destination,39.11,-77.284,71,0.000,0.000,0.000
Origin,39.11,-77.02003774287316,72,0.011,0.011,0.011
Destination,37.98351891891892,-77.02644632431243,72,0.011,0.011,0.011
Origin,38.92981981981982,-77.01881603757707,73,0.003,0.003,0.003
Destination,36.90243783783784,-78.65719,73,0.003,0.003,0.003
Origin,38.74963963963964,-77.284,74,0.014,0.014,0.014
Destination,36.90243783783784,-76.9786726204822,74,0.014,0.014,0.014
Origin,36.90243783783784,-75.3001552409644,75,8.355,0.000,6.526
Destination,38.92981981981982,-77.284,75,8.355,0.000,6.526
Origin,39.0646,-75.48596166245726,76,0.001,0.002,0.001
Destination,38.92981981981982,-76.75363207515413,76,0.001,0.002,0.001
Origin,39.0646,-75.48596166245726,77,6.565,9.426,4.232
Destination,38.74963963963964,-77.284,77,6.565,9.426,4.232
Origin,39.0646,-75.48596166245726,78,2.994,3.756,2.205
Destination,38.74963963963964,-77.01758297077761,78,2.994,3.756,2.205
Origin,39.0646,-77.07157583122863,79,0.028,0.028,0.028
Destination,39.11,-77.284,79,0.028,0.028,0.028
Origin,38.74963963963964,-77.01758297077761,80,0.009,0.009,0.009
Destination,37.98351891891892,-75.39570264862486,80,0.009,0.009,0.009
Origin,38.74963963963964,-77.284,81,0.011,0.011,0.011
Destination,39.0646,-78.65719,81,0.011,0.011,0.011
Origin,37.98351891891892,-75.39570264862486,82,1.521,2.005,8.892
Destination,38.92981981981982,-76.75363207515413,82,1.521,2.005,8.892
Origin,39.0646,-78.65719,83,0.000,0.000,0.000
Destination,38.74963963963964,-77.01758297077761,83,0.000,0.000,0.000
Origin,38.74963963963964,-77.01758297077761,84,0.008,0.008,0.008
Destination,36.90243783783784,-76.9786726204822,84,0.008,0.008,0.008
Origin,38.92981981981982,-76.75363207515413,85,0.008,0.008,0.008
Destination,36.90243783783784,-78.65719,85,0.008,0.008,0.008
Origin,37.98351891891892,-75.39570264862486,86,4.675,3.917,1.600
Destination,39.11,-76.75607548574631,86,4.675,3.917,1.600
Origin,37.98351891891892,-78.65719,87,0.000,0.000,0.000
Destination,39.11,-76.75607548574631,87,0.000,0.000,0.000
Origin,39.11,-77.02003774287316,88,0.025,0.025,0.026
Destination,36.90243783783784,-76.9786726204822,88,0.025,0.025,0.026
Origin,38.74963963963964,-76.75116594155521,89,0.009,0.009,0.009
Destination,39.0646,-78.65719,89,0.009,0.009,0.009
Origin,38.92981981981982,-77.284,90,0.003,0.003,0.003
Destination,36.90243783783784,-78.65719,90,0.003,0.003,0.003
Origin,37.98351891891892,-77.02644632431243,91,0.003,0.004,0.002
Destination,38.92981981981982,-77.284,91,0.003,0.004,0.002
Origin,38.92981981981982,-77.284,92,0.025,0.024,0.025
Destination,39.0646,-75.48596166245726,92,0.025,0.024,0.025
Origin,39.0646,-77.07157583122863,93,0.011,0.011,0.011
Destination,39.11,-77.02003774287316,93,0.011,0.011,0.011
Origin,39.11,-77.02003774287316,94,0.002,0.002,0.002
Destination,39.0646,-77.07157583122863,94,0.002,0.002,0.002
Origin,39.0646,-77.07157583122863,95,0.014,0.014,0.014
