Index,NodeType,Latitude,Longitude,InterestCount%,AM%,PM%
44,Origin,38.74963963963964,-76.75116594155521,0.003255,0.001555,0.000500
44,Destination,37.98351891891892,-78.65719,0.003255,0.001555,0.000500
45,Origin,38.74963963963964,-76.75116594155521,0.011702,0.011465,0.010997
45,Destination,37.98351891891892,-77.02644632431243,0.011702,0.011465,0.010997
46,Origin,39.0646,-78.65719,0.002170,0.001166,0.000000
46,Destination,39.11,-77.02003774287316,0.002170,0.001166,0.000000
47,Origin,39.0646,-78.65719,0.000232,0.000194,0.000000
47,Destination,38.92981981981982,-77.284,0.000232,0.000194,0.000000
48,Origin,39.0646,-78.65719,0.000232,0.000194,0.000000
48,Destination,39.11,-76.75607548574631,0.000232,0.000194,0.000000
49,Origin,36.90243783783784,-75.3001552409644,0.000000,0.000000,0.000000
49,Destination,38.92981981981982,-77.01881603757707,0.000000,0.000000,0.000000
50,Origin,39.11,-76.75607548574631,0.016507,0.018461,0.016246
50,Destination,36.90243783783784,-78.65719,0.016507,0.018461,0.016246
51,Origin,38.74963963963964,-77.01758297077761,0.006665,0.006218,0.003749
51,Destination,37.98351891891892,-78.65719,0.006665,0.006218,0.003749
52,Origin,38.74963963963964,-77.284,0.003100,0.003692,0.001250
52,Destination,39.0646,-75.48596166245726,0.003100,0.003692,0.001250
53,Origin,38.92981981981982,-77.01881603757707,0.003332,0.001943,0.002249
53,Destination,36.90243783783784,-76.9786726204822,0.003332,0.001943,0.002249
54,Origin,36.90243783783784,-78.65719,0.000000,0.000000,0.000000
54,Destination,38.92981981981982,-77.284,0.000000,0.000000,0.000000
55,Origin,37.98351891891892,-77.02644632431243,0.000155,0.000194,0.000000
55,Destination,38.74963963963964,-77.01758297077761,0.000155,0.000194,0.000000
56,Origin,37.98351891891892,-75.39570264862486,0.000000,0.000000,0.000000
56,Destination,38.74963963963964,-77.284,0.000000,0.000000,0.000000
57,Origin,39.11,-77.284,0.011237,0.010105,0.007998
57,Destination,36.90243783783784,-76.9786726204822,0.011237,0.010105,0.007998
58,Origin,37.98351891891892,-75.39570264862486,0.000000,0.000000,0.000000
58,Destination,38.92981981981982,-77.284,0.000000,0.000000,0.000000
59,Origin,39.11,-77.284,0.032083,0.043335,0.037741
59,Destination,39.0646,-77.07157583122863,0.032083,0.043335,0.037741
60,Origin,38.92981981981982,-76.75363207515413,0.002790,0.001749,0.002749
60,Destination,37.98351891891892,-75.39570264862486,0.002790,0.001749,0.002749
61,Origin,38.74963963963964,-77.01758297077761,0.007905,0.004858,0.004999
61,Destination,36.90243783783784,-75.3001552409644,0.007905,0.004858,0.004999
62,Origin,37.98351891891892,-77.02644632431243,0.000155,0.000194,0.000000
62,Destination,39.11,-77.02003774287316,0.000155,0.000194,0.000000
63,Origin,39.11,-77.02003774287316,0.020769,0.024096,0.024994
63,Destination,39.0646,-78.65719,0.020769,0.024096,0.024994
64,Origin,38.92981981981982,-77.284,0.002325,0.000972,0.000250
64,Destination,37.98351891891892,-77.02644632431243,0.002325,0.000972,0.000250
65,Origin,37.98351891891892,-77.02644632431243,0.000000,0.000000,0.000000
65,Destination,39.11,-77.284,0.000000,0.000000,0.000000
66,Origin,39.11,-76.75607548574631,0.009067,0.005830,0.008998
66,Destination,37.98351891891892,-78.65719,0.009067,0.005830,0.008998
67,Origin,38.92981981981982,-77.01881603757707,0.003410,0.001943,0.002499
67,Destination,37.98351891891892,-75.39570264862486,0.003410,0.001943,0.002499
68,Origin,37.98351891891892,-78.65719,0.000310,0.000194,0.000000
68,Destination,38.74963963963964,-77.284,0.000310,0.000194,0.000000
69,Origin,38.92981981981982,-76.75363207515413,0.005890,0.006996,0.002999
69,Destination,39.0646,-78.65719,0.005890,0.006996,0.002999
70,Origin,36.90243783783784,-78.65719,0.000000,0.000000,0.000000
70,Destination,38.74963963963964,-76.75116594155521,0.000000,0.000000,0.000000
71,Origin,39.0646,-78.65719,0.001705,0.002721,0.000000
71,Destination,39.11,-77.284,0.001705,0.002721,0.000000
72,Origin,39.11,-77.02003774287316,0.011547,0.010688,0.013997
72,Destination,37.98351891891892,-77.02644632431243,0.011547,0.010688,0.013997
73,Origin,38.92981981981982,-77.01881603757707,0.003022,0.001166,0.001750
73,Destination,36.90243783783784,-78.65719,0.003022,0.001166,0.001750
74,Origin,38.74963963963964,-77.284,0.014569,0.014574,0.012497
74,Destination,36.90243783783784,-76.9786726204822,0.014569,0.014574,0.012497
75,Origin,36.90243783783784,-75.3001552409644,0.000000,0.000000,0.000000
75,Destination,38.92981981981982,-77.284,0.000000,0.000000,0.000000
76,Origin,39.0646,-75.48596166245726,0.000077,0.000000,0.000250
76,Destination,38.92981981981982,-76.75363207515413,0.000077,0.000000,0.000250
77,Origin,39.0646,-75.48596166245726,0.000000,0.000000,0.000000
77,Destination,38.74963963963964,-77.284,0.000000,0.000000,0.000000
78,Origin,39.0646,-75.48596166245726,0.000077,0.000000,0.000250
78,Destination,38.74963963963964,-77.01758297077761,0.000077,0.000000,0.000250
79,Origin,39.0646,-77.07157583122863,0.027743,0.029732,0.034991
79,Destination,39.11,-77.284,0.027743,0.029732,0.034991
80,Origin,38.74963963963964,-77.01758297077761,0.008524,0.006024,0.007748
80,Destination,37.98351891891892,-75.39570264862486,0.008524,0.006024,0.007748
81,Origin,38.74963963963964,-77.284,0.011934,0.010105,0.009248
81,Destination,39.0646,-78.65719,0.011934,0.010105,0.009248
82,Origin,37.98351891891892,-75.39570264862486,0.000000,0.000000,0.000000
82,Destination,38.92981981981982,-76.75363207515413,0.000000,0.000000,0.000000
83,Origin,39.0646,-78.65719,0.000697,0.000777,0.000000
83,Destination,38.74963963963964,-77.01758297077761,0.000697,0.000777,0.000000
84,Origin,38.74963963963964,-77.01758297077761,0.009144,0.008162,0.010497
84,Destination,36.90243783783784,-76.9786726204822,0.009144,0.008162,0.010497
85,Origin,38.92981981981982,-76.75363207515413,0.008292,0.009522,0.006248
85,Destination,36.90243783783784,-78.65719,0.008292,0.009522,0.006248
86,Origin,37.98351891891892,-75.39570264862486,0.000000,0.000000,0.000000
86,Destination,39.11,-76.75607548574631,0.000000,0.000000,0.000000
87,Origin,37.98351891891892,-78.65719,0.000232,0.000194,0.000000
87,Destination,39.11,-76.75607548574631,0.000232,0.000194,0.000000
88,Origin,39.11,-77.02003774287316,0.026736,0.028177,0.036991
88,Destination,36.90243783783784,-76.9786726204822,0.026736,0.028177,0.036991
89,Origin,38.74963963963964,-76.75116594155521,0.008447,0.007190,0.006748
89,Destination,39.0646,-78.65719,0.008447,0.007190,0.006748
90,Origin,38.92981981981982,-77.284,0.003487,0.001749,0.002999
90,Destination,36.90243783783784,-78.65719,0.003487,0.001749,0.002999
91,Origin,37.98351891891892,-77.02644632431243,0.000077,0.000194,0.000000
91,Destination,38.92981981981982,-77.284,0.000077,0.000194,0.000000
92,Origin,38.92981981981982,-77.284,0.027046,0.031675,0.031992
92,Destination,39.0646,-75.48596166245726,0.027046,0.031675,0.031992
93,Origin,39.0646,-77.07157583122863,0.011857,0.012825,0.010247
93,Destination,39.11,-77.02003774287316,0.011857,0.012825,0.010247
94,Origin,39.11,-77.02003774287316,0.003487,0.003692,0.002249
94,Destination,39.0646,-77.07157583122863,0.003487,0.003692,0.002249
95,Origin,39.0646,-77.07157583122863,0.015732,0.019044,0.015246
95,Destination,38.74963963963964,-77.284,0.015732,0.019044,0.015246
96,Origin,38.74963963963964,-77.284,0.003022,0.001555,0.000500
96,Destination,37.98351891891892,-78.65719,0.003022,0.001555,0.000500
97,Origin,37.98351891891892,-78.65719,0.000697,0.000389,0.000250
97,Destination,38.74963963963964,-77.01758297077761,0.000697,0.000389,0.000250
98,Origin,39.0646,-77.07157583122863,0.014569,0.016712,0.009998
98,Destination,38.92981981981982,-76.75363207515413,0.014569,0.016712,0.009998
99,Origin,37.98351891891892,-78.65719,0.000077,0.000194,0.000000
99,Destination,39.11,-77.284,0.000077,0.000194,0.000000
100,Origin,38.92981981981982,-77.01881603757707,0.009144,0.007967,0.005999
100,Destination,37.98351891891892,-78.65719,0.009144,0.007967,0.005999
101,Origin,37.98351891891892,-77.02644632431243,0.000077,0.000194,0.000000
101,Destination,39.11,-76.75607548574631,0.000077,0.000194,0.000000
102,Origin,36.90243783783784,-75.3001552409644,0.000000,0.000000,0.000000
102,Destination,38.74963963963964,-76.75116594155521,0.000000,0.000000,0.000000
103,Origin,39.0646,-77.07157583122863,0.008369,0.002915,0.009498
103,Destination,39.11,-76.75607548574631,0.008369,0.002915,0.009498
104,Origin,36.90243783783784,-78.65719,0.000077,0.000194,0.000000
104,Destination,39.11,-77.02003774287316,0.000077,0.000194,0.000000
105,Origin,39.11,-77.284,0.010462,0.006607,0.006748
105,Destination,36.90243783783784,-78.65719,0.010462,0.006607,0.006748
106,Origin,38.74963963963964,-77.01758297077761,0.003487,0.001360,0.001250
106,Destination,36.90243783783784,-78.65719,0.003487,0.001360,0.001250
107,Origin,36.90243783783784,-76.9786726204822,0.000077,0.000194,0.000000
107,Destination,38.74963963963964,-77.284,0.000077,0.000194,0.000000
108,Origin,37.98351891891892,-75.39570264862486,0.000155,0.000000,0.000500
108,Destination,38.92981981981982,-77.01881603757707,0.000155,0.000000,0.000500
109,Origin,39.11,-76.75607548574631,0.008292,0.005247,0.007748
109,Destination,36.90243783783784,-76.9786726204822,0.008292,0.005247,0.007748
110,Origin,37.98351891891892,-77.02644632431243,0.000000,0.000000,0.000000
110,Destination,38.74963963963964,-76.75116594155521,0.000000,0.000000,0.000000
111,Origin,36.90243783783784,-76.9786726204822,0.000000,0.000000,0.000000
111,Destination,39.11,-77.02003774287316,0.000000,0.000000,0.000000
112,Origin,38.74963963963964,-76.75116594155521,0.017436,0.020599,0.019245
112,Destination,36.90243783783784,-76.9786726204822,0.017436,0.020599,0.019245
113,Origin,38.92981981981982,-77.284,0.002945,0.001749,0.001000
113,Destination,39.0646,-77.07157583122863,0.002945,0.001749,0.001000
114,Origin,38.74963963963964,-76.75116594155521,0.002557,0.002332,0.001250
114,Destination,37.98351891891892,-75.39570264862486,0.002557,0.002332,0.001250
115,Origin,39.0646,-75.48596166245726,0.000000,0.000000,0.000000
115,Destination,38.92981981981982,-77.284,0.000000,0.000000,0.000000
116,Origin,39.0646,-75.48596166245726,0.000000,0.000000,0.000000
116,Destination,39.11,-77.284,0.000000,0.000000,0.000000
117,Origin,39.0646,-77.07157583122863,0.014414,0.013020,0.015246
117,Destination,38.92981981981982,-77.01881603757707,0.014414,0.013020,0.015246
118,Origin,36.90243783783784,-78.65719,0.000000,0.000000,0.000000
118,Destination,38.92981981981982,-77.01881603757707,0.000000,0.000000,0.000000
119,Origin,36.90243783783784,-76.9786726204822,0.000000,0.000000,0.000000
119,Destination,39.11,-77.284,0.000000,0.000000,0.000000
120,Origin,38.92981981981982,-77.01881603757707,0.008524,0.009716,0.003749
120,Destination,39.0646,-77.07157583122863,0.008524,0.009716,0.003749
121,Origin,37.98351891891892,-75.39570264862486,0.000000,0.000000,0.000000
121,Destination,38.74963963963964,-76.75116594155521,0.000000,0.000000,0.000000
122,Origin,39.0646,-78.65719,0.002325,0.003304,0.000000
122,Destination,38.74963963963964,-76.75116594155521,0.002325,0.003304,0.000000
123,Origin,38.74963963963964,-77.284,0.024024,0.027400,0.026243
123,Destination,36.90243783783784,-75.3001552409644,0.024024,0.027400,0.026243
124,Origin,38.92981981981982,-77.284,0.012012,0.013603,0.009748
124,Destination,37.98351891891892,-78.65719,0.012012,0.013603,0.009748
125,Origin,37.98351891891892,-78.65719,0.000310,0.000389,0.000000
125,Destination,38.92981981981982,-77.284,0.000310,0.000389,0.000000
126,Origin,39.11,-77.02003774287316,0.011314,0.012048,0.006748
126,Destination,37.98351891891892,-78.65719,0.011314,0.012048,0.006748
127,Origin,36.90243783783784,-76.9786726204822,0.000155,0.000194,0.000250
127,Destination,38.74963963963964,-77.01758297077761,0.000155,0.000194,0.000250
128,Origin,38.92981981981982,-77.284,0.006045,0.005052,0.003249
128,Destination,39.0646,-78.65719,0.006045,0.005052,0.003249
129,Origin,37.98351891891892,-77.02644632431243,0.000000,0.000000,0.000000
129,Destination,38.92981981981982,-76.75363207515413,0.000000,0.000000,0.000000
130,Origin,38.92981981981982,-76.75363207515413,0.016119,0.016323,0.021745
130,Destination,39.0646,-75.48596166245726,0.016119,0.016323,0.021745
131,Origin,39.0646,-75.48596166245726,0.000077,0.000000,0.000250
131,Destination,38.74963963963964,-76.75116594155521,0.000077,0.000000,0.000250
132,Origin,38.92981981981982,-77.01881603757707,0.038128,0.051108,0.048238
132,Destination,37.98351891891892,-77.02644632431243,0.038128,0.051108,0.048238
133,Origin,36.90243783783784,-75.3001552409644,0.000000,0.000000,0.000000
133,Destination,38.74963963963964,-77.01758297077761,0.000000,0.000000,0.000000
134,Origin,39.0646,-75.48596166245726,0.000000,0.000000,0.000000
134,Destination,39.11,-77.02003774287316,0.000000,0.000000,0.000000
135,Origin,39.0646,-78.65719,0.002402,0.002332,0.000000
135,Destination,38.74963963963964,-77.284,0.002402,0.002332,0.000000
136,Origin,36.90243783783784,-78.65719,0.000000,0.000000,0.000000
136,Destination,38.74963963963964,-77.01758297077761,0.000000,0.000000,0.000000
137,Origin,39.0646,-78.65719,0.001472,0.000972,0.000000
137,Destination,38.92981981981982,-76.75363207515413,0.001472,0.000972,0.000000
138,Origin,39.0646,-75.48596166245726,0.000077,0.000000,0.000250
138,Destination,38.92981981981982,-77.01881603757707,0.000077,0.000000,0.000250
139,Origin,37.98351891891892,-78.65719,0.000232,0.000194,0.000000
139,Destination,38.92981981981982,-77.01881603757707,0.000232,0.000194,0.000000
140,Origin,39.0646,-75.48596166245726,0.000000,0.000000,0.000000
140,Destination,39.11,-76.75607548574631,0.000000,0.000000,0.000000
141,Origin,39.11,-77.284,0.069203,0.092110,0.095726
141,Destination,36.90243783783784,-75.3001552409644,0.069203,0.092110,0.095726
142,Origin,39.11,-76.75607548574631,0.009919,0.007579,0.009498
142,Destination,37.98351891891892,-77.02644632431243,0.009919,0.007579,0.009498
143,Origin,38.74963963963964,-76.75116594155521,0.009687,0.008745,0.007498
143,Destination,39.0646,-77.07157583122863,0.009687,0.008745,0.007498
144,Origin,38.74963963963964,-76.75116594155521,0.003177,0.001555,0.002249
144,Destination,39.0646,-75.48596166245726,0.003177,0.001555,0.002249
145,Origin,39.11,-77.02003774287316,0.012477,0.011854,0.012497
145,Destination,37.98351891891892,-75.39570264862486,0.012477,0.011854,0.012497
146,Origin,38.92981981981982,-77.01881603757707,0.002867,0.001555,0.002749
146,Destination,39.0646,-75.48596166245726,0.002867,0.001555,0.002749
147,Origin,36.90243783783784,-76.9786726204822,0.000000,0.000000,0.000000
147,Destination,38.92981981981982,-76.75363207515413,0.000000,0.000000,0.000000
148,Origin,36.90243783783784,-75.3001552409644,0.000000,0.000000,0.000000
148,Destination,39.11,-77.02003774287316,0.000000,0.000000,0.000000
149,Origin,38.92981981981982,-77.284,0.014027,0.011271,0.011497
149,Destination,36.90243783783784,-76.9786726204822,0.014027,0.011271,0.011497
150,Origin,39.11,-77.284,0.002945,0.001555,0.001500
150,Destination,37.98351891891892,-75.39570264862486,0.002945,0.001555,0.001500
151,Origin,39.11,-77.284,0.003332,0.001166,0.001250
151,Destination,39.0646,-78.65719,0.003332,0.001166,0.001250
152,Origin,37.98351891891892,-77.02644632431243,0.000000,0.000000,0.000000
152,Destination,38.74963963963964,-77.284,0.000000,0.000000,0.000000
153,Origin,38.92981981981982,-76.75363207515413,0.012942,0.012631,0.011997
153,Destination,36.90243783783784,-75.3001552409644,0.012942,0.012631,0.011997
154,Origin,38.74963963963964,-77.01758297077761,0.004727,0.002526,0.001750
154,Destination,39.0646,-77.07157583122863,0.004727,0.002526,0.001750
155,Origin,37.98351891891892,-78.65719,0.000465,0.000194,0.000000
155,Destination,38.92981981981982,-76.75363207515413,0.000465,0.000194,0.000000
156,Origin,38.92981981981982,-76.75363207515413,0.016816,0.017295,0.020495
156,Destination,39.0646,-77.07157583122863,0.016816,0.017295,0.020495
157,Origin,39.0646,-77.07157583122863,0.006820,0.005052,0.004749
157,Destination,38.74963963963964,-76.75116594155521,0.006820,0.005052,0.004749
158,Origin,36.90243783783784,-78.65719,0.000000,0.000000,0.000000
158,Destination,38.92981981981982,-76.75363207515413,0.000000,0.000000,0.000000
159,Origin,36.90243783783784,-75.3001552409644,0.000000,0.000000,0.000000
159,Destination,39.11,-76.75607548574631,0.000000,0.000000,0.000000
160,Origin,39.11,-76.75607548574631,0.012167,0.009911,0.013497
160,Destination,37.98351891891892,-75.39570264862486,0.012167,0.009911,0.013497
161,Origin,38.74963963963964,-77.284,0.007440,0.008356,0.003749
161,Destination,39.0646,-77.07157583122863,0.007440,0.008356,0.003749
