origin,destination,path,zscore,pvalue
"Loudoun County, NOVA","Capital Hill, DC",US-50-EB,2.6384919157401,0.00832756859086592
"Loudoun County, NOVA","Capital Hill, DC",I-66-EB,0.8703904520630021,0.384087062746721
"Loudoun County, NOVA","Capital Hill, DC",I-66-WB,8.716031252493657,0.0
"Loudoun County, NOVA","Capital Hill, DC",US-29-NB,1.8702958820307696,0.061442741086011
"Loudoun County, NOVA","Arlington, DC",I-66-EB,0.7001013130035632,0.48386403592202676
"Loudoun County, NOVA","Arlington, DC",US-50-EB,0.3896449743349007,0.6967990907319241
"Loudoun County, NOVA","Arlington, DC",I-66-WB,1.019528058148106,0.3079523396034747
"Loudoun County, NOVA","Arlington, DC",US-29-NB,1.3872031455685423,0.16537982655612704
"Loudoun County, NOVA","Arlington, DC",I-66-WB-TZ4-3-2_US-50-WB-TZ1,1.9618745361816987,0.04977709309805656
"Loudoun County, NOVA","Arlington, DC",US-29-SB,19.102444559181826,0.0
"Loudoun County, NOVA","Alexandria, DC",I-66-EB,2.364689584175924,0.018045188778268217
"Loudoun County, NOVA","Alexandria, DC",US-50-EB,0.020220361590403448,0.9838675850053162
"Loudoun County, NOVA","Alexandria, DC",US-29-NB,1.010202805758851,0.31239813530948557
"Loudoun County, NOVA","Alexandria, DC",I-66-WB,1.010202805758851,0.31239813530948557
"Loudoun County, NOVA","Maryland, DC",I-66-EB,2.2289705767931554,0.02581586255211077
"Loudoun County, NOVA","Maryland, DC",US-50-EB,1.0930026140715587,0.2743926520117357
"Loudoun County, NOVA","Maryland, DC",I-66-WB,1.5711160473959094,0.116155695761881
"Loudoun County, NOVA","Maryland, DC",US-29-NB,0.9620616705868508,0.33601862634399415
"Loudoun County, NOVA","Maryland, DC",US-50-WB,4.449888652656767,8.591482109965298e-06
"Loudoun County, NOVA","Maryland, DC",US-29-NB-TZ1_I-66-EB-TZ2-3-4,2.6967315189958048,0.0070023702067025795
"Loudoun County, NOVA","Maryland, DC",I-66-EB-TZ1-2-3_US-29-NB-TZ4,0.3263393721991729,0.7441676025869719
"Loudoun County, NOVA","Maryland, DC",I-66-EB-TZ1-2_US-29-NB-TZ3-4,4.993628958833005,5.92551875566727e-07
"Loudoun County, NOVA","Maryland, DC",US-50-EB-TZ1-2_I-66-EB-TZ3-4,2.777420067839861,0.005479231499809778
"Loudoun County, NOVA","Maryland, DC",US-29-SB,0.9811188984124452,0.32653411197486615
"Loudoun County, NOVA","Tysons, DC",I-66-EB,0.5522065419034584,0.5808068528129262
"Loudoun County, NOVA","Tysons, DC",US-50-EB,1.653655911599001,0.09819744543774411
"Loudoun County, NOVA","Tysons, DC",US-29-NB,0.9545571591958486,0.33980169066041466
"Loudoun County, NOVA","Fort Hunt and Belvoir, DC",I-66-EB,0.8730810583855504,0.38261889744324273
"Loudoun County, NOVA","Fort Hunt and Belvoir, DC",US-29-NB,1.023239071800216,0.3061948234432763
"Loudoun County, NOVA","Fort Hunt and Belvoir, DC",US-50-EB,0.3602968934927002,0.7186251221807891
"Loudoun County, NOVA","Fort Hunt and Belvoir, DC",I-66-WB,0.97735331864505,0.3283942650504357
"Loudoun County, NOVA","Fort Hunt and Belvoir, DC",US-29-NB-TZ1-2_I-66-EB-TZ3-4,6.6386137360131245,3.166467088533409e-11
"Loudoun County, NOVA","Springfield, DC",US-50-EB,1.180414217300138,0.2378355100814895
"Loudoun County, NOVA","Springfield, DC",US-29-NB,0.04166687880954781,0.9667642579006126
"Loudoun County, NOVA","Springfield, DC",I-66-EB,0.45620395977427824,0.6482433182235474
"Loudoun County, NOVA","Springfield, DC",I-66-EB-TZ1_US-29-NB-TZ2-3-4,4.122518668093122,3.747522298436223e-05
"Loudoun County, NOVA","Annandale, DC",I-66-EB,0.6168543066412743,0.537330828018967
"Loudoun County, NOVA","Annandale, DC",US-50-EB,0.04526044836517655,0.963899712743987
"Faquire, NOVA","Capital Hill, DC",I-66-EB,1.037887326895124,0.29932251429414825
"Faquire, NOVA","Alexandria, DC",I-66-EB,1.3598121656967912,0.1738893715730896
"Faquire, NOVA","Maryland, DC",I-66-EB,1.4379684995780528,0.15044299212926981
"Faquire, NOVA","Maryland, DC",I-66-EB-TZ1-2_US-29-NB-TZ3-4,1.0920339050825354,0.274818198767826
"Faquire, NOVA","Maryland, DC",US-50-EB,1.0920339050825354,0.274818198767826
"Faquire, NOVA","Maryland, DC",US-29-NB,1.0920339050825354,0.274818198767826
"Faquire, NOVA","Tysons, DC",I-66-EB,1.858740530754391,0.06306392549325834
"Faquire, NOVA","Springfield, DC",I-66-EB,1.1666420042771604,0.2433549728326283
"Faquire, NOVA","Annandale, DC",I-66-EB,0.46101017885449036,0.6447913022991967
"Prince William, NOVA","Capital Hill, DC",US-29-NB,1.7674936863542157,0.07714558544656946
"Prince William, NOVA","Capital Hill, DC",I-66-EB,1.2552653243161112,0.20938245859427962
"Prince William, NOVA","Capital Hill, DC",I-66-EB-TZ1-2-3_US-29-NB-TZ4,0.859365839407647,0.3901387102838485
"Prince William, NOVA","Capital Hill, DC",US-50-EB,2.57368432840688,0.010062203212001908
"Prince William, NOVA","Capital Hill, DC",I-66-EB-TZ1_US-29-NB-TZ2-3-4,1.3757658182834094,0.16889414723085316
"Prince William, NOVA","Capital Hill, DC",I-66-EB-TZ1-2_US-29-NB-TZ3-4,0.9864415587470267,0.32391648000296813
"Prince William, NOVA","Capital Hill, DC",I-66-WB,0.9864415587470267,0.32391648000296813
