Latitude,Longitude,Zone
39.03431,-77.221,DC
39.03431,-77.13587398698022,DC
39.03431,-77.05074797396043,DC
39.03431,-76.96562196094064,DC
39.03431,-76.88049594792085,DC
39.03431,-76.79536993490106,DC
38.97631558558558,-77.221,DC
38.97631558558558,-77.13574732459044,DC
38.97631558558558,-77.05049464918088,DC
38.97631558558558,-76.96524197377131,DC
38.97631558558558,-76.87998929836175,DC
38.97631558558558,-76.79473662295219,DC
38.918321171171165,-77.221,DC
38.918321171171165,-77.13562028470695,DC
38.918321171171165,-77.05024056941389,DC
38.918321171171165,-76.96486085412083,DC
38.918321171171165,-76.87948113882777,DC
38.918321171171165,-76.79410142353471,DC
38.86032675675675,-77.221,DC
38.86032675675675,-77.13549286563962,DC
38.86032675675675,-77.04998573127924,DC
38.86032675675675,-76.96447859691885,DC
38.86032675675675,-76.87897146255847,DC
38.86032675675675,-76.79346432819808,DC
38.80233234234233,-77.221,DC
38.80233234234233,-77.13536506568826,DC
38.80233234234233,-77.04973013137652,DC
38.80233234234233,-76.96409519706478,DC
38.80233234234233,-76.87846026275304,DC
38.80233234234233,-76.7928253284413,DC
38.744337927927916,-77.221,DC
38.744337927927916,-77.13523688314253,DC
38.744337927927916,-77.04947376628505,DC
38.744337927927916,-76.96371064942757,DC
38.744337927927916,-76.87794753257009,DC
38.744337927927916,-76.79218441571261,DC
