Index,NodeType,Direction,Latitude,Longitude,InterestCount%,AM%,PM%
58,Destination,False,38.8415898034398,-77.561672817188,0.000010,0.000011,0.000009
59,Origin,True,38.595889557739554,-76.90467366011966,0.000171,0.000295,0.000083
59,Destination,True,38.74963963963964,-77.284,0.000171,0.000295,0.000083
60,Origin,False,38.92981981981982,-76.75363207515413,0.000005,0.000008,0.000003
60,Destination,False,38.8415898034398,-77.12674972031601,0.000005,0.000008,0.000003
61,Origin,False,39.11,-77.02003774287316,0.000000,0.000000,0.000000
61,Destination,False,38.8415898034398,-76.90928817188002,0.000000,0.000000,0.000000
62,Origin,False,39.11,-77.02003774287316,0.000000,0.000000,0.000000
62,Destination,False,38.7433097051597,-77.05279151244092,0.000000,0.000000,0.000000
63,Origin,False,39.11,-76.75607548574631,0.000006,0.000008,0.000004
63,Destination,False,39.03815,-77.34567118372256,0.000006,0.000008,0.000004
64,Origin,False,39.11,-77.284,0.000002,0.000003,0.000001
64,Destination,False,38.497609459459454,-77.12221595406415,0.000002,0.000003,0.000001
65,Origin,False,38.92981981981982,-77.284,0.000037,0.000039,0.000037
65,Destination,False,38.9398699017199,-77.63416,0.000037,0.000039,0.000037
66,Origin,True,38.546749508599504,-77.04982695886262,0.000002,0.000005,0.000000
66,Destination,True,38.74963963963964,-77.284,0.000002,0.000005,0.000000
67,Origin,True,38.595889557739554,-77.56121136601196,0.000001,0.000001,0.000000
67,Destination,True,38.92981981981982,-77.01881603757707,0.000001,0.000001,0.000000
68,Origin,False,38.92981981981982,-76.75363207515413,0.000001,0.000003,0.000000
68,Destination,False,38.9398699017199,-77.2726388357156,0.000001,0.000003,0.000000
69,Origin,True,38.9398699017199,-77.41724730142936,0.000478,0.000413,0.000524
69,Destination,True,39.11,-76.75607548574631,0.000478,0.000413,0.000524
70,Origin,False,38.74963963963964,-77.284,0.000082,0.000093,0.000073
70,Destination,False,38.497609459459454,-77.19535081776927,0.000082,0.000093,0.000073
71,Origin,True,38.546749508599504,-77.04982695886262,0.000000,0.000000,0.000000
71,Destination,True,39.11,-76.75607548574631,0.000000,0.000000,0.000000
72,Origin,True,38.595889557739554,-77.19646819607179,0.000065,0.000082,0.000054
72,Destination,True,39.11,-77.02003774287316,0.000065,0.000082,0.000054
73,Origin,True,38.69416965601965,-77.1248165479829,0.000515,0.000496,0.000529
73,Destination,True,39.11,-77.02003774287316,0.000515,0.000496,0.000529
74,Origin,True,38.7433097051597,-77.19813363433069,0.001922,0.002081,0.001807
74,Destination,True,39.11,-76.75607548574631,0.001922,0.002081,0.001807
75,Origin,True,38.69416965601965,-77.05205319769475,0.000082,0.000094,0.000074
75,Destination,True,38.92981981981982,-77.284,0.000082,0.000094,0.000074
76,Origin,True,38.497609459459454,-76.82967649924366,0.000006,0.000015,0.000000
76,Destination,True,38.74963963963964,-76.75116594155521,0.000006,0.000015,0.000000
77,Origin,False,39.11,-77.284,0.000001,0.000002,0.000001
77,Destination,False,39.03815,-77.12930457151448,0.000001,0.000002,0.000001
78,Origin,False,39.11,-76.75607548574631,0.000003,0.000005,0.000002
78,Destination,False,39.03815,-76.98506016337576,0.000003,0.000005,0.000002
79,Origin,False,38.74963963963964,-77.284,0.000032,0.000026,0.000036
79,Destination,False,38.7433097051597,-77.27080469527557,0.000032,0.000026,0.000036
80,Origin,True,38.9398699017199,-76.98342190428808,0.000209,0.000240,0.000187
80,Destination,True,38.92981981981982,-77.01881603757707,0.000209,0.000240,0.000187
81,Origin,True,38.89072985257985,-77.12739085423594,0.007894,0.007581,0.008119
81,Destination,True,39.11,-77.02003774287316,0.007894,0.007581,0.008119
82,Origin,True,38.8415898034398,-77.561672817188,0.000010,0.000013,0.000008
82,Destination,True,38.92981981981982,-76.75363207515413,0.000010,0.000013,0.000008
83,Origin,True,38.8415898034398,-77.12674972031601,0.002109,0.001965,0.002213
83,Destination,True,38.74963963963964,-77.284,0.002109,0.001965,0.002213
84,Origin,False,38.74963963963964,-77.01758297077761,0.000062,0.000075,0.000053
84,Destination,False,38.7433097051597,-77.1254625733858,0.000062,0.000075,0.000053
85,Origin,False,38.92981981981982,-77.01881603757707,0.000683,0.000600,0.000743
85,Destination,False,38.595889557739554,-77.56121136601196,0.000683,0.000600,0.000743
86,Origin,False,38.74963963963964,-77.284,0.000020,0.000021,0.000020
86,Destination,False,39.03815,-76.98506016337576,0.000020,0.000021,0.000020
87,Origin,False,38.92981981981982,-77.01881603757707,0.000128,0.000127,0.000129
87,Destination,False,38.69416965601965,-77.27034324855921,0.000128,0.000127,0.000129
88,Origin,False,38.74963963963964,-76.75116594155521,0.000001,0.000001,0.000000
88,Destination,False,38.7433097051597,-77.56148893905511,0.000001,0.000001,0.000000
89,Origin,True,38.69416965601965,-76.97928984740659,0.000025,0.000039,0.000015
89,Destination,True,38.92981981981982,-77.01881603757707,0.000025,0.000039,0.000015
90,Origin,True,39.03815,-77.05718236744512,0.000063,0.000090,0.000045
90,Destination,True,38.92981981981982,-77.01881603757707,0.000063,0.000090,0.000045
91,Origin,False,39.11,-77.02003774287316,0.000005,0.000010,0.000001
91,Destination,False,38.9398699017199,-77.12803037000184,0.000005,0.000010,0.000001
92,Origin,False,38.74963963963964,-77.01758297077761,0.000014,0.000016,0.000013
