tripID,corridor,deviceID,providerID,providerType,providerDrivingProfile,vehicleWeightClass
9c8add08bd9098066263a0392b8a7a3b,US-50-EB,2f8bcaa46762ec4c840dd176dc32c334,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
f73e021526d599b2354daf162ffa02e3,US-50-EB,429d3d2b13dd231d92d94576f86cffd9,fb7b9ffa5462084c5f4e7e85a093e6d7,1,1,1
c002a9f3320f702a5f43d7af100a81dd,US-50-EB,9be95901404ca8cebc167244529f4530,82cec96096d4281b7c95cd7e74623496,1,1,1
45080d6242aa0afe6ac9dd4fade25153,US-50-EB,d7fdbcea91cfb70397fb3a7376838ca9,54229abfcfa5649e7003b83dd4755294,2,3,2
01c69137bdfbc9ada094ca8a723cebd9,US-50-EB,e84b953ee7309058aa74cdd1e218f312,54229abfcfa5649e7003b83dd4755294,2,3,2
7241310494212e3f5535e96654181e81,US-50-EB,3bf781b1dd652c4c78e212aad6b8eed5,39059724f73a9969845dfe4146c5660e,1,1,1
15a80d687ccb917bcf273bd72cabd607,US-50-EB,0bcaaf8a7139c16ce57b2077ccf9ee8a,89f0fd5c927d466d6ec9a21b9ac34ffa,2,3,2
9a81c3c53f3473aabb11b71f99296639,US-50-EB,8e1523be5df451813de32761eef82f6b,f4f6dce2f3a0f9dada0c2b5b66452017,1,1,1
370b1926ad3845217c3a827798729e98,US-50-EB,47cfed4c4f17a5ed8a627f862f9acea4,84d9ee44e457ddef7f2c4f25dc8fa865,1,1,1
04079bd09b441de5894c8844ddbbe904,US-50-EB,afb66243cc561fbcfab16887518573bb,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
b54c169b57e27df084d1bc7c1746f654,US-50-EB,816338f627b387db720d93a775fa212a,6cdd60ea0045eb7a6ec44c54d29ed402,2,3,2
bacf71fd01938778bdd428fed7a5c12f,US-50-EB,8f07f9eb0ad35534c25a8fcebd643b0f,54229abfcfa5649e7003b83dd4755294,2,3,2
d9c8140507c68a2b10a5e4bc4c91e94a,US-50-EB,1a3e6d54b10fdeda0f0bed99ea711da0,54229abfcfa5649e7003b83dd4755294,2,3,2
62299c55288da4d8b54a74e0fcc242ac,US-50-EB,595476dbb4e37c01a6678eb2bbc1e54f,84d9ee44e457ddef7f2c4f25dc8fa865,1,1,1
ea47a6b5378bdab18aa05b96c11bff66,US-50-EB,7b718b20b16a2747500fbddc400d4e8b,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
a2275a49165f7578ae43d14af6da808d,US-50-EB,9999deaee100e8da7e98ee3493d57edd,f033ab37c30201f73f142449d037028d,2,3,2
814ba31895cca41ec5dcbb2b190dc3d8,US-50-EB,c6b8ad23a625e81647e54349fb1e8d19,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
955efaa1c846c77d5a1ab4d41262488d,US-50-EB,d26f39b299029ca6dba0c1dc88a5aab6,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
dbb89b71ddc029ea57a6cc533b2ead7e,US-50-EB,eddab03344b5e9f9292a2ae24c594c66,8dd48d6a2e2cad213179a3992c0be53c,1,1,1
a154d00f2549facffad52fbacf708a8b,US-50-EB,78c2fe330d183f13524705521df3f521,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
79778ccaec15f5a3df4b4cc8438e7419,US-50-EB,8eeca5276b6f62a3cfcd5fb7ae7886a8,fb7b9ffa5462084c5f4e7e85a093e6d7,1,1,1
bd3e9bfd8949056b21dfa15d855d89c7,US-50-EB,6df5f784c7c2b977f8efb672effb14b6,82cec96096d4281b7c95cd7e74623496,1,1,1
5ee8c28a9cf84ac6355d2f7ddf30d2c8,US-50-EB,de1ebb7cf99c0d4e5c468b695373bcf7,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
9ee7587bae57e7faeea0ccd1462b5e02,US-50-EB,79f7f644c8f9d595ec59e5bdbccb6876,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
e5e3007b41590f2d96bf4bb8700cfb36,US-50-EB,871e220bf7a92d3388e4e768e9cc9885,a02ffd91ece5e7efeb46db8f10a74059,2,3,1
68bd87cc915b9ccaafac1b27362d9d6b,US-50-EB,7c68f4a414f3fa5357c8cca476325e37,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
44343f65ddc8b59936ad6f4bd027d8c0,US-50-EB,1b37a2a856abc51850473db88694ab6f,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
4587b1fad7b08fe99e4e765a8f8ceffb,US-50-EB,791094234940669a555927e440577c9d,3ad7c2ebb96fcba7cda0cf54a2e802f5,1,1,1
102d633c751db2a17543083f7de0bce5,US-50-EB,6352e083815dd43503d2909cf4fc2c02,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
3c88f57dc741d6ffd8f079fbc75eb932,US-50-EB,1b7a078aeb2f0ff7c4cf27f65bdaa2db,54229abfcfa5649e7003b83dd4755294,2,3,2
89232a804f282f3ce4dbf845048c98dd,US-50-EB,3bc7b247b2b98a6d3db8e3a422f10144,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
5faa155232196231e009185d878dee45,US-50-EB,0bcaaf8a7139c16ce57b2077ccf9ee8a,89f0fd5c927d466d6ec9a21b9ac34ffa,2,3,2
cfd2fd12c746509f849a3f0299afd011,US-50-EB,cdbcb0ca2a9bffba554ce21850572911,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
1b51826dbec79c393eb3450485211f16,US-50-EB,40f872e80c7366f04dbed3fa5d065e7b,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
5cb298096d6cb08236bfa8c6338d2d68,US-50-EB,624433b1019c4c88f8b759dcae831fb3,54229abfcfa5649e7003b83dd4755294,2,3,2
3c0274f2122f4561e4b27f77b3b3a0d8,US-50-EB,f31dd5364f19cc4ef1730a42c9645d78,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
15e1c1cba6a19c15f814566104d63a0f,US-50-EB,429d3d2b13dd231d92d94576f86cffd9,fb7b9ffa5462084c5f4e7e85a093e6d7,1,1,1
1b4a5b64353454b4470ed318cf915808,US-50-EB,a97e7e56c4d46cd0b3893243796343f9,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
6ff74b15c770845e3f1d9c8f65eaf893,US-50-EB,aec8ae37a7287dad39a27ec462999ee7,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
e9909977dd40c074de62930433ebf6cd,US-50-EB,76568bae35cf79b3bc06da4587f9367b,8dd48d6a2e2cad213179a3992c0be53c,1,1,1
dfcb5f74392376648cb1f342dd9789d9,US-50-EB,a375f4f13933330782d2ea7ee70b9de1,89f0fd5c927d466d6ec9a21b9ac34ffa,2,3,2
0fbf8bba1df6d31270747f4d921f21ee,US-50-EB,9e2296270ddd52b7453a5819e9d7321e,54229abfcfa5649e7003b83dd4755294,2,3,2
0d34fd4af1a40e3358dfb8e8351a789c,US-50-EB,a627ecc71fbe6c1952918652b4f8c5e6,f033ab37c30201f73f142449d037028d,2,3,2
ec60535be6dfc196c01b0ac1dd3b44f3,US-50-EB,7e142baf662812b5495f16e5b9f1daec,54229abfcfa5649e7003b83dd4755294,2,3,2
5d2d5c9968396cc04af209fa45e16ccf,US-50-EB,467dac4f8c29bbc09cb6e86735906a58,f033ab37c30201f73f142449d037028d,2,3,2
ed3b766b7a3b62a84f616f635fe49320,US-50-EB,605c28143c25060a7f095248ee945b31,54229abfcfa5649e7003b83dd4755294,2,3,2
a4924e6028b86ca1b833b681c49ba32a,US-50-EB,83046a93e1bd0a9be84be1e870b076cf,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
a978228eb85f31d3b2f0b1f2ef1f086e,US-50-EB,3f80a3423ae91657bafc9840f67c699d,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
e4d8c444f88f3d208ac9ce76693af7e8,US-50-EB,845da92b9bf142dd84c5136867549754,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
918b43af27d1914b09d35d77715514f7,US-50-EB,631431666aff424a09f7aa473971ca9c,8dd48d6a2e2cad213179a3992c0be53c,1,1,1
b028ad7c4aa089f6cd8d315d67b286f5,US-50-EB,d45ec5bff6a2f32d9fd44c348a4f24a8,8dd48d6a2e2cad213179a3992c0be53c,1,1,1
795c5058995bce39d38484948fe044cd,US-50-EB,3f931984235ce981a2e33ea836c53be5,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
9be2c6b75d7ba0c3a2b6c4d278398f5a,US-50-EB,3e1aaf5ea8f6d0af9a2787c591f4118a,84d9ee44e457ddef7f2c4f25dc8fa865,1,1,1
c81865fcc43916588f6ca460ba844a06,US-50-EB,a2fd0e71364d0e04e2991d2450c7cf1d,84d9ee44e457ddef7f2c4f25dc8fa865,1,1,1
e057479a8074ebf2ae6c803405f5759c,US-50-EB,259441fddd13f4f229bce6499f819b59,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
6c24584fa2e4b400fe5b71a96acf8c4c,US-50-EB,56b080e2cb011e53976374191feaef04,54229abfcfa5649e7003b83dd4755294,2,3,2
b4aa7df8758a26d6f5a6bbb2d06a704c,US-50-EB,1b7a078aeb2f0ff7c4cf27f65bdaa2db,54229abfcfa5649e7003b83dd4755294,2,3,2
849f3d1320435b1521e3b5395256ca7b,US-50-EB,3487899ed82adaae92981ff3222e2ce2,f4f6dce2f3a0f9dada0c2b5b66452017,1,1,1
85a3cc2eebcffc3ffffa715edb02d664,US-50-EB,2537ec0d0edd1fbd45e15633769f2876,54229abfcfa5649e7003b83dd4755294,2,3,2
943ce54808662c8688a986e57654a794,US-50-EB,7459f0f8d72640141eaad0eabb81cf9a,84d9ee44e457ddef7f2c4f25dc8fa865,1,1,1
3df2f11a4b2d7d99bba8db7f22aada15,US-50-EB,0df92676881977b45a8493fe9405606c,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
01e73dedff74fc0d9a4ef8efa7120af2,US-50-EB,4ce2e6b5797d3af54c7dc8a010c4ff5b,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
0fb8ea24748c8ae11837e18510e1dca3,US-50-EB,0faefc57e8b6700063d8bbe32a82246a,54229abfcfa5649e7003b83dd4755294,2,3,2
a3ee8ccb6c2a4c8ebf67fc59325990ab,US-50-EB,d16766732db93618fe24ba827999c358,a02ffd91ece5e7efeb46db8f10a74059,2,3,1
2700b721c807b89b54370274683bfb5f,US-50-EB,5c7821111be28fc38bdf65a3e2a13cd2,54229abfcfa5649e7003b83dd4755294,2,3,2
aa14baff4d79f9ba3edaba16538bbd0a,US-50-EB,f1079a4a332534fa5aeb63bac8b19324,54229abfcfa5649e7003b83dd4755294,2,3,2
bdf2ffa2061b85ddacd6b9bc42c1360b,US-50-EB,6ee864f118336538d460f5281a5dfaaf,54229abfcfa5649e7003b83dd4755294,2,3,2
a14204cd8a4981747f18f9546247e788,US-50-EB,22cdb9ad6a19f9c4558f215997adf894,3ad7c2ebb96fcba7cda0cf54a2e802f5,1,1,1
f8a2589144dc82ec6f5f0208401b07f8,US-50-EB,816338f627b387db720d93a775fa212a,6cdd60ea0045eb7a6ec44c54d29ed402,2,3,2
3f9a23e6b21c5c4490db0f98ae2afc00,US-50-EB,ddf7eed05db4ce8c93e5903e94522940,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
518004c1388da4f07dc36c5688d8ce46,US-50-EB,a3865fec75a466db97b34d81fa77085e,82cec96096d4281b7c95cd7e74623496,1,1,1
c2717e7827e056ae8ae77c25b8fddd87,US-50-EB,d18768c467eaaaae352bb16b74de01e4,54229abfcfa5649e7003b83dd4755294,2,3,2
8bee800ea4d583d47cf3da943b1daa03,US-50-EB,ae82b933153bc68b8aa39d1cb809b182,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
aaf525a38da664acc63ccda41905a4ef,US-50-EB,c3a6b4533de51081fefd9309153302e5,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
