ID, Type, CenterLat, CenterLong
0,NOVA,39.03815,-77.63416
1,NOVA,39.03815,-77.56203779593064
2,NOVA,39.03815,-77.48991559186128
3,NOVA,39.03815,-77.41779338779192
4,NOVA,39.03815,-77.34567118372256
5,NOVA,39.03815,-77.2735489796532
6,NOVA,39.03815,-77.20142677558384
7,NOVA,39.03815,-77.12930457151448
8,NOVA,39.03815,-77.05718236744512
9,NOVA,39.03815,-76.98506016337576
10,NOVA,39.03815,-76.9129379593064
11,NOVA,39.03815,-76.84081575523705
12,NOVA,38.98900995085995,-77.63416
13,NOVA,38.98900995085995,-77.56194689624745
14,NOVA,38.98900995085995,-77.4897337924949
15,NOVA,38.98900995085995,-77.41752068874236
16,NOVA,38.98900995085995,-77.34530758498981
17,NOVA,38.98900995085995,-77.27309448123727
18,NOVA,38.98900995085995,-77.20088137748472
19,NOVA,38.98900995085995,-77.12866827373217
20,NOVA,38.98900995085995,-77.05645516997963
21,NOVA,38.98900995085995,-76.98424206622708
22,NOVA,38.98900995085995,-76.91202896247454
23,NOVA,38.98900995085995,-76.83981585872199
24,NOVA,38.9398699017199,-77.63416
25,NOVA,38.9398699017199,-77.56185576714311
26,NOVA,38.9398699017199,-77.48955153428624
27,NOVA,38.9398699017199,-77.41724730142936
28,NOVA,38.9398699017199,-77.34494306857248
29,NOVA,38.9398699017199,-77.2726388357156
30,NOVA,38.9398699017199,-77.20033460285872
31,NOVA,38.9398699017199,-77.12803037000184
32,NOVA,38.9398699017199,-77.05572613714496
33,NOVA,38.9398699017199,-76.98342190428808
34,NOVA,38.9398699017199,-76.9111176714312
35,NOVA,38.9398699017199,-76.83881343857432
36,NOVA,38.89072985257985,-77.63416
37,NOVA,38.89072985257985,-77.56176440774799
38,NOVA,38.89072985257985,-77.48936881549598
39,NOVA,38.89072985257985,-77.41697322324397
40,NOVA,38.89072985257985,-77.34457763099196
41,NOVA,38.89072985257985,-77.27218203873996
42,NOVA,38.89072985257985,-77.19978644648795
43,NOVA,38.89072985257985,-77.12739085423594
44,NOVA,38.89072985257985,-77.05499526198393
45,NOVA,38.89072985257985,-76.98259966973193
46,NOVA,38.89072985257985,-76.91020407747992
47,NOVA,38.89072985257985,-76.83780848522791
48,NOVA,38.8415898034398,-77.63416
49,NOVA,38.8415898034398,-77.561672817188
50,NOVA,38.8415898034398,-77.489185634376
51,NOVA,38.8415898034398,-77.416698451564
52,NOVA,38.8415898034398,-77.344211268752
53,NOVA,38.8415898034398,-77.27172408594001
54,NOVA,38.8415898034398,-77.19923690312801
55,NOVA,38.8415898034398,-77.12674972031601
56,NOVA,38.8415898034398,-77.05426253750402
57,NOVA,38.8415898034398,-76.98177535469202
58,NOVA,38.8415898034398,-76.90928817188002
59,NOVA,38.8415898034398,-76.83680098906802
60,NOVA,38.79244975429975,-77.63416
61,NOVA,38.79244975429975,-77.56158099458469
62,NOVA,38.79244975429975,-77.48900198916938
63,NOVA,38.79244975429975,-77.41642298375407
64,NOVA,38.79244975429975,-77.34384397833877
65,NOVA,38.79244975429975,-77.27126497292346
66,NOVA,38.79244975429975,-77.19868596750815
67,NOVA,38.79244975429975,-77.12610696209285
68,NOVA,38.79244975429975,-77.05352795667754
69,NOVA,38.79244975429975,-76.98094895126223
70,NOVA,38.79244975429975,-76.90836994584693
71,NOVA,38.79244975429975,-76.83579094043162
72,NOVA,38.7433097051597,-77.63416
73,NOVA,38.7433097051597,-77.56148893905511
74,NOVA,38.7433097051597,-77.48881787811023
75,NOVA,38.7433097051597,-77.41614681716534
76,NOVA,38.7433097051597,-77.34347575622046
77,NOVA,38.7433097051597,-77.27080469527557
78,NOVA,38.7433097051597,-77.19813363433069
79,NOVA,38.7433097051597,-77.1254625733858
80,NOVA,38.7433097051597,-77.05279151244092
81,NOVA,38.7433097051597,-76.98012045149603
82,NOVA,38.7433097051597,-76.90744939055115
83,NOVA,38.7433097051597,-76.83477832960627
84,NOVA,38.69416965601965,-77.63416
85,NOVA,38.69416965601965,-77.56139664971184
86,NOVA,38.69416965601965,-77.48863329942368
87,NOVA,38.69416965601965,-77.41586994913553
88,NOVA,38.69416965601965,-77.34310659884737
89,NOVA,38.69416965601965,-77.27034324855921
90,NOVA,38.69416965601965,-77.19757989827106
91,NOVA,38.69416965601965,-77.1248165479829
92,NOVA,38.69416965601965,-77.05205319769475
93,NOVA,38.69416965601965,-76.97928984740659
94,NOVA,38.69416965601965,-76.90652649711843
95,NOVA,38.69416965601965,-76.83376314683028
96,NOVA,38.6450296068796,-77.63416
97,NOVA,38.6450296068796,-77.56130412566294
98,NOVA,38.6450296068796,-77.48844825132589
99,NOVA,38.6450296068796,-77.41559237698884
100,NOVA,38.6450296068796,-77.34273650265179
101,NOVA,38.6450296068796,-77.26988062831474
102,NOVA,38.6450296068796,-77.19702475397769
103,NOVA,38.6450296068796,-77.12416887964064
104,NOVA,38.6450296068796,-77.05131300530358
105,NOVA,38.6450296068796,-76.97845713096653
106,NOVA,38.6450296068796,-76.90560125662948
107,NOVA,38.6450296068796,-76.83274538229243
108,NOVA,38.595889557739554,-77.63416
109,NOVA,38.595889557739554,-77.56121136601196
110,NOVA,38.595889557739554,-77.48826273202393
111,NOVA,38.595889557739554,-77.41531409803589
112,NOVA,38.595889557739554,-77.34236546404786
113,NOVA,38.595889557739554,-77.26941683005982
114,NOVA,38.595889557739554,-77.19646819607179
115,NOVA,38.595889557739554,-77.12351956208376
116,NOVA,38.595889557739554,-77.05057092809572
117,NOVA,38.595889557739554,-76.97762229410769
