OriginLat,OriginLong,DestinationLat,DestinationLong,Count
0.0,0.0,0.0,0.0,0
36.90243783783784,-78.65719,39.11,-77.284,0
39.0646,-78.65719,38.92981981981982,-77.01881603757707,0
39.0646,-77.07157583122863,38.92981981981982,-77.284,0
0.0,0.0,0.0,0.0,0
38.92981981981982,-77.284,37.98351891891892,-75.39570264862486,0
38.74963963963964,-76.75116594155521,36.90243783783784,-75.3001552409644,0
36.90243783783784,-76.9786726204822,38.74963963963964,-76.75116594155521,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
38.74963963963964,-76.75116594155521,36.90243783783784,-78.65719,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
36.90243783783784,-75.3001552409644,38.92981981981982,-76.75363207515413,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
38.92981981981982,-76.75363207515413,37.98351891891892,-78.65719,0
0.0,0.0,0.0,0.0,0
39.11,-76.75607548574631,39.0646,-77.07157583122863,0
36.90243783783784,-78.65719,39.11,-76.75607548574631,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
38.92981981981982,-76.75363207515413,36.90243783783784,-76.9786726204822,0
39.11,-76.75607548574631,36.90243783783784,-75.3001552409644,0
38.92981981981982,-76.75363207515413,37.98351891891892,-77.02644632431243,0
39.11,-77.02003774287316,36.90243783783784,-75.3001552409644,0
38.74963963963964,-77.284,37.98351891891892,-75.39570264862486,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
39.11,-77.02003774287316,39.0646,-75.48596166245726,0
39.11,-77.284,37.98351891891892,-78.65719,0
38.92981981981982,-77.284,36.90243783783784,-75.3001552409644,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
38.74963963963964,-77.01758297077761,37.98351891891892,-77.02644632431243,0
0.0,0.0,0.0,0.0,0
39.0646,-77.07157583122863,38.74963963963964,-77.01758297077761,0
39.11,-77.284,39.0646,-75.48596166245726,0
