Index,NodeType,Direction,Latitude,Longitude,InterestCount%,AM%,PM%,total percent,Ranking
979,Origin,TRUE,38.8415898,-77.34421127,0.005224,0.004729,0.005579,0.255,36
979,Destination,TRUE,38.74963964,-77.284,0.005224,0.004729,0.005579,0.257,
1646,Origin,TRUE,38.79244975,-77.19868597,0.00515,0.005097,0.005187,0.260,37
1646,Destination,TRUE,39.11,-76.75607549,0.00515,0.005097,0.005187,0.263,
609,Origin,TRUE,38.9398699,-77.2003346,0.004967,0.003942,0.005704,0.265,38
609,Destination,TRUE,38.74963964,-77.284,0.004967,0.003942,0.005704,0.268,
1327,Origin,TRUE,38.89072985,-77.19978645,0.004885,0.004343,0.005273,0.270,39
1327,Destination,TRUE,38.74963964,-77.284,0.004885,0.004343,0.005273,0.272,
1210,Origin,TRUE,38.89072985,-76.98259967,0.004823,0.004559,0.005012,0.275,40
1210,Destination,TRUE,38.92981982,-77.01881604,0.004823,0.004559,0.005012,0.277,
1190,Origin,TRUE,38.74330971,-77.19813363,0.004739,0.005265,0.004361,0.280,41
1190,Destination,TRUE,38.92981982,-77.01881604,0.004739,0.005265,0.004361,0.282,
1395,Origin,TRUE,38.9398699,-77.05572614,0.004734,0.00416,0.005147,0.284,42
1395,Destination,TRUE,38.92981982,-76.75363208,0.004734,0.00416,0.005147,0.287,
193,Origin,TRUE,38.9398699,-77.05572614,0.004705,0.004237,0.005042,0.289,43
193,Destination,TRUE,38.74963964,-77.284,0.004705,0.004237,0.005042,0.291,
844,Origin,TRUE,38.89072985,-77.19978645,0.004672,0.004451,0.004831,0.294,44
844,Destination,TRUE,38.92981982,-76.75363208,0.004672,0.004451,0.004831,0.296,
260,Origin,TRUE,38.79244975,-77.05352796,0.004643,0.004416,0.004807,0.298,45
260,Destination,TRUE,38.92981982,-76.75363208,0.004643,0.004416,0.004807,0.301,
941,Origin,TRUE,38.89072985,-77.05499526,0.004612,0.00376,0.005224,0.303,46
941,Destination,TRUE,39.11,-77.02003774,0.004612,0.00376,0.005224,0.305,
2226,Origin,TRUE,38.79244975,-77.19868597,0.004464,0.004719,0.00428,0.308,47
2226,Destination,TRUE,38.74963964,-77.284,0.004464,0.004719,0.00428,0.310,
1770,Origin,TRUE,38.79244975,-77.12610696,0.004389,0.004774,0.004112,0.312,48
1770,Destination,TRUE,38.92981982,-77.284,0.004389,0.004774,0.004112,0.314,
2299,Origin,TRUE,38.8415898,-77.1992369,0.004349,0.003961,0.004628,0.316,49
2299,Destination,TRUE,38.74963964,-77.284,0.004349,0.003961,0.004628,0.319,
336,Origin,TRUE,38.89072985,-77.12739085,0.004232,0.004079,0.004343,0.321,50
336,Destination,TRUE,39.11,-77.284,0.004232,0.004079,0.004343,0.323,
1330,Origin,TRUE,38.9398699,-77.2003346,0.004218,0.003276,0.004895,0.325,51
1330,Destination,TRUE,38.92981982,-77.284,0.004218,0.003276,0.004895,0.327,
2354,Origin,TRUE,38.79244975,-77.05352796,0.00421,0.004184,0.004228,0.329,52
2354,Destination,TRUE,38.92981982,-77.284,0.00421,0.004184,0.004228,0.331,
814,Origin,TRUE,38.9398699,-77.12803037,0.004154,0.00392,0.004321,0.333,53
814,Destination,TRUE,38.92981982,-77.01881604,0.004154,0.00392,0.004321,0.335,
360,Origin,TRUE,38.8415898,-77.12674972,0.004151,0.004056,0.004219,0.337,54
360,Destination,TRUE,38.92981982,-77.01881604,0.004151,0.004056,0.004219,0.340,
2126,Origin,TRUE,38.89072985,-77.27218204,0.004137,0.004148,0.00413,0.342,55
2126,Destination,TRUE,38.92981982,-76.75363208,0.004137,0.004148,0.00413,0.344,
723,Origin,TRUE,38.9398699,-77.05572614,0.004118,0.003637,0.004464,0.346,56
723,Destination,TRUE,38.74963964,-76.75116594,0.004118,0.003637,0.004464,0.348,
632,Origin,TRUE,38.89072985,-76.98259967,0.004026,0.003447,0.004441,0.350,57
632,Destination,TRUE,38.92981982,-77.284,0.004026,0.003447,0.004441,0.352,
1128,Origin,TRUE,38.9398699,-77.12803037,0.00391,0.003677,0.004078,0.354,58
1128,Destination,TRUE,39.11,-77.284,0.00391,0.003677,0.004078,0.356,
2467,Origin,TRUE,38.8415898,-77.27172409,0.0039,0.003883,0.003913,0.358,59
2467,Destination,TRUE,38.74963964,-77.284,0.0039,0.003883,0.003913,0.360,
2414,Origin,TRUE,38.69416966,-77.1975799,0.003838,0.004435,0.003409,0.362,60
2414,Destination,TRUE,38.74963964,-77.284,0.003838,0.004435,0.003409,0.363,
537,Origin,TRUE,38.9398699,-77.34494307,0.003834,0.002874,0.004524,0.365,61
537,Destination,TRUE,39.11,-77.02003774,0.003834,0.002874,0.004524,0.367,
191,Origin,TRUE,38.89072985,-76.98259967,0.003782,0.003697,0.003843,0.369,62
191,Destination,TRUE,38.74963964,-77.284,0.003782,0.003697,0.003843,0.371,
497,Origin,TRUE,38.89072985,-77.12739085,0.003719,0.003609,0.003798,0.373,63
497,Destination,TRUE,39.11,-76.75607549,0.003719,0.003609,0.003798,0.375,
789,Origin,TRUE,38.9398699,-77.2003346,0.003615,0.002771,0.004223,0.377,64
789,Destination,TRUE,39.11,-77.284,0.003615,0.002771,0.004223,0.378,
171,Origin,TRUE,38.98900995,-77.12866827,0.003564,0.003542,0.003579,0.380,65
171,Destination,TRUE,39.11,-77.284,0.003564,0.003542,0.003579,0.382,
2508,Origin,TRUE,38.74330971,-77.19813363,0.003509,0.003887,0.003237,0.384,66
2508,Destination,TRUE,38.92981982,-77.284,0.003509,0.003887,0.003237,0.385,
1504,Origin,TRUE,38.89072985,-77.27218204,0.003478,0.003458,0.003493,0.387,67
1504,Destination,TRUE,39.11,-77.284,0.003478,0.003458,0.003493,0.389,
2269,Origin,TRUE,38.74330971,-77.12546257,0.003478,0.003306,0.003602,0.391,68
2269,Destination,TRUE,38.74963964,-77.284,0.003478,0.003306,0.003602,0.392,
702,Origin,TRUE,38.74330971,-77.19813363,0.00334,0.003702,0.003081,0.394,69
702,Destination,TRUE,38.74963964,-77.01758297,0.00334,0.003702,0.003081,0.396,
1737,Origin,TRUE,38.9398699,-77.12803037,0.003311,0.003061,0.003489,0.397,70
1737,Destination,TRUE,38.74963964,-76.75116594,0.003311,0.003061,0.003489,0.399,
1681,Origin,TRUE,38.98900995,-77.05645517,0.003266,0.003301,0.00324,0.401,71
1681,Destination,TRUE,39.11,-77.284,0.003266,0.003301,0.00324,0.402,
618,Origin,TRUE,38.79244975,-77.12610696,0.003254,0.003512,0.003069,0.404,72
618,Destination,TRUE,39.11,-77.02003774,0.003254,0.003512,0.003069,0.406,
788,Origin,FALSE,38.92981982,-77.01881604,0.003238,0.002827,0.003534,0.407,73
788,Destination,FALSE,38.98900995,-76.83981586,0.003238,0.002827,0.003534,0.409,
928,Origin,TRUE,38.89072985,-77.27218204,0.003229,0.003209,0.003244,0.410,74
928,Destination,TRUE,39.11,-76.75607549,0.003229,0.003209,0.003244,0.412,
1092,Origin,TRUE,38.89072985,-77.19978645,0.003115,0.002805,0.003337,0.414,75
1092,Destination,TRUE,38.92981982,-77.01881604,0.003115,0.002805,0.003337,0.415,
1466,Origin,TRUE,38.79244975,-77.12610696,0.003074,0.003329,0.002891,0.417,76
1466,Destination,TRUE,39.11,-77.284,0.003074,0.003329,0.002891,0.418,
161,Origin,TRUE,38.79244975,-77.19868597,0.003016,0.003087,0.002965,0.420,77
161,Destination,TRUE,39.11,-77.02003774,0.003016,0.003087,0.002965,0.421,
1922,Origin,TRUE,38.79244975,-77.05352796,0.003007,0.00285,0.00312,0.423,78
1922,Destination,TRUE,38.74963964,-77.284,0.003007,0.00285,0.00312,0.424,
1090,Origin,FALSE,38.92981982,-77.01881604,0.002958,0.002639,0.003187,0.426,79
1090,Destination,FALSE,38.59588956,-77.26941683,0.002958,0.002639,0.003187,0.427,
1420,Origin,TRUE,38.89072985,-76.98259967,0.002953,0.002586,0.003216,0.429,80
1420,Destination,TRUE,39.11,-77.02003774,0.002953,0.002586,0.003216,0.430,
795,Origin,TRUE,38.79244975,-77.19868597,0.002942,0.003043,0.00287,0.432,81
795,Destination,TRUE,38.74963964,-77.01758297,0.002942,0.003043,0.00287,0.433,
2515,Origin,TRUE,38.64502961,-77.26988063,0.002934,0.002767,0.003053,0.435,82
2515,Destination,TRUE,39.11,-77.02003774,0.002934,0.002767,0.003053,0.436,
2545,Origin,TRUE,38.8415898,-77.34421127,0.002924,0.002591,0.003163,0.438,83
2545,Destination,TRUE,38.92981982,-77.284,0.002924,0.002591,0.003163,0.439,
2088,Origin,TRUE,38.8415898,-77.12674972,0.00288,0.002791,0.002944,0.440,84
2088,Destination,TRUE,38.92981982,-77.284,0.00288,0.002791,0.002944,0.442,
424,Origin,TRUE,38.79244975,-77.05352796,0.002854,0.002805,0.002888,0.443,85
424,Destination,TRUE,38.74963964,-77.01758297,0.002854,0.002805,0.002888,0.445,
480,Origin,TRUE,38.9398699,-77.05572614,0.00284,0.002542,0.003054,0.446,86
480,Destination,TRUE,38.92981982,-77.01881604,0.00284,0.002542,0.003054,0.448,
717,Origin,TRUE,38.79244975,-77.27126497,0.002824,0.003007,0.002693,0.449,87
717,Destination,TRUE,39.11,-77.02003774,0.002824,0.003007,0.002693,0.450,
660,Origin,FALSE,38.92981982,-77.01881604,0.002813,0.002476,0.003056,0.452,88
660,Destination,FALSE,38.79244975,-77.05352796,0.002813,0.002476,0.003056,0.453,
657,Origin,TRUE,38.98900995,-77.12866827,0.0028,0.002882,0.002741,0.455,89
657,Destination,TRUE,38.74963964,-77.284,0.0028,0.002882,0.002741,0.456,
133,Origin,TRUE,38.64502961,-77.3427365,0.002768,0.002845,0.002714,0.457,90
133,Destination,TRUE,39.11,-77.02003774,0.002768,0.002845,0.002714,0.459,
2116,Origin,TRUE,38.8415898,-77.05426254,0.002751,0.002543,0.002901,0.460,91
2116,Destination,TRUE,38.74963964,-77.01758297,0.002751,0.002543,0.002901,0.462,
105,Origin,TRUE,38.8415898,-77.05426254,0.002725,0.002656,0.002774,0.463,92
105,Destination,TRUE,39.11,-77.284,0.002725,0.002656,0.002774,0.464,
